,name,score,people,director,author,type,eare,year,中国大陆,中国台湾,中国香港,eare_lu,eare_dalu
1,大明王朝1566,9.7,118771.0, 张黎, 陈宝国 / 黄志忠 / 王庆祥, 剧情 / 历史, 中国大陆,2007.0,1,0,0,,大陆
2,红楼梦,9.6,131141.0, 王扶林, 欧阳奋强 / 陈晓旭 / 邓婕, 剧情 / 爱情 / 古装, 中国大陆,1987.0,1,0,0,,大陆
3,走向共和,9.7,62145.0, 张黎, 王冰 / 吕中 / 马少骅, 剧情 / 历史, 中国大陆,2003.0,1,0,0,,大陆
4,毛骗 终结篇,9.7,55464.0, 李洪绸 / 邢冬冬 / 汪小壹, 杨羽 / 邵庄 / 安宁, 犯罪 / 悬疑, 中国大陆,2015.0,1,0,0,,大陆
5,西游记,9.6,189229.0, 杨洁, 六小龄童 / 迟重瑞 / 马德华, 剧情 / 动作 / 奇幻 / 冒险 / 古装, 中国大陆,1986.0,1,0,0,,大陆
6,武林外传,9.5,314074.0, 尚敬, 闫妮 / 姚晨 / 沙溢, 喜剧 / 武侠 / 古装, 中国大陆,2006.0,1,0,0,,大陆
7,大宅门,9.3,105128.0, 郭宝昌, 斯琴高娃 / 刘佩琦 / 陈宝国, 剧情 / 爱情 / 家庭 / 传记 / 历史, 中国大陆,2001.0,1,0,0,,大陆
8,三国演义,9.4,82156.0, 王扶林 / 张绍林 / 蔡晓晴 / 孙光明 / 张中一 / 沈好放, 唐国强 / 孙彦军 / 鲍国安, 剧情 / 历史 / 战争, 中国大陆,1994.0,1,0,0,,大陆
9,毛骗 第二季,9.4,34259.0, 李洪绸 / 邢冬冬 / 于哲, 杨羽 / 安宁 / 邢冬冬, 犯罪 / 悬疑, 中国大陆,2011.0,1,0,0,,大陆
10,琅琊榜,9.3,465767.0, 孔笙 / 李雪, 胡歌 / 刘涛 / 王凯, 剧情 / 古装, 中国大陆,2015.0,1,0,0,,大陆
11,潜伏,9.3,139424.0, 姜伟 / 付玮, 孙红雷 / 姚晨 / 沈傲君, 剧情 / 爱情, 中国大陆,2009.0,1,0,0,,大陆
12,士兵突击,9.4,125843.0, 康洪雷, 王宝强 / 陈思诚 / 段奕宏, 剧情, 中国大陆,2006.0,1,0,0,,大陆
13,红色,9.2,98588.0, 杨磊, 陶虹 / 张鲁一 / 周一围, 剧情 / 战争, 中国大陆,2014.0,1,0,0,,大陆
14,我爱我家,9.3,74054.0, 英达, 文兴宇 / 宋丹丹 / 杨立新, 喜剧 / 家庭, 中国大陆,1993.0,1,0,0,,大陆
15,我的团长我的团,9.5,87229.0, 康洪雷, 段奕宏 / 张译 / 张国强, 历史 / 战争, 中国大陆,2009.0,1,0,0,,大陆
16,大时代 大時代,9.3,52007.0, 韦家辉, 郑少秋 / 刘青云 / 周慧敏, 剧情, 中国香港,1992.0,0,0,1,,不是大陆
17,父母爱情,9.5,159771.0, 孔笙, 郭涛 / 梅婷 / 王菁华, 爱情 / 家庭, 中国大陆,2014.0,1,0,0,,大陆
18,黎明之前,9.2,42636.0, 刘江, 吴秀波 / 林永健 / 陆剑民, 剧情 / 历史 / 悬疑, 中国大陆,2010.0,1,0,0,,大陆
19,大秦帝国之裂变,9.3,42151.0, 黄健中 / 延艺, 侯勇 / 王志飞 / 卢勇, 剧情 / 历史 / 古装, 中国大陆,2009.0,1,0,0,,大陆
20,围城,9.2,25601.0, 黄蜀芹, 陈道明 / 英达 / 吕丽萍, 剧情, 中国大陆,1990.0,1,0,0,,大陆
21,战长沙,9.1,156165.0, 孔笙 / 张开宙, 霍建华 / 杨紫 / 左小青, 剧情 / 历史 / 战争, 中国大陆,2014.0,1,0,0,,大陆
22,射雕英雄传 射鵰英雄傳,9.1,66381.0, 王天林 / 杜琪峰, 黄日华 / 翁美玲 / 苗侨伟, 剧情 / 动作 / 武侠 / 古装, 中国香港,1983.0,0,0,1,,不是大陆
23,亮剑,9.4,132574.0, 张前 / 陈健, 李幼斌 / 何政军 / 张光北, 剧情 / 战争, 中国大陆,2005.0,1,0,0,,大陆
24,巾帼枭雄之义海豪情 巾幗梟雄之義海豪情,9.2,40102.0, 李添胜, 邓萃雯 / 黎耀祥 / 岳华, 剧情 / 历史, 中国香港,2010.0,0,0,1,,不是大陆
25,白夜追凶,9.0,417871.0, 王伟, 潘粤明 / 王泷正 / 梁缘, 剧情 / 犯罪 / 悬疑, 中国大陆,2017.0,1,0,0,,大陆
26,后宫·甄嬛传,9.2,327909.0, 郑晓龙, 孙俪 / 陈建斌 / 蔡少芬, 剧情 / 古装, 中国大陆,2011.0,1,0,0,,大陆
27,新白娘子传奇 新白娘子傳奇,9.1,134492.0, 夏祖辉 / 何麒, 赵雅芝 / 叶童 / 陈美琪, 爱情 / 奇幻 / 古装, 中国台湾,1992.0,0,1,0,,不是大陆
28,神雕侠侣 神雕俠侶,9.1,135264.0, 李添胜, 古天乐 / 李若彤 / 白彪, 爱情 / 武侠 / 古装, 中国香港,1995.0,0,0,1,,不是大陆
29,康熙王朝,9.2,109657.0, 陈家林 / 刘大印, 斯琴高娃 / 陈道明 / 高兰村, 剧情 / 爱情 / 传记 / 历史, 中国大陆,2001.0,1,0,0,,大陆
30,大明宫词,9.1,91376.0, 李少红, 陈红 / 归亚蕾 / 周迅, 剧情 / 爱情 / 古装, 中国大陆,2000.0,1,0,0,,大陆
31,闯关东,9.2,67355.0, 张新建 / 孔笙, 李幼斌 / 萨日娜 / 宋佳, 剧情, 中国大陆,2008.0,1,0,0,,大陆
32,我和春天有个约会 我和春天有個約會,9.0,25729.0, 叶昭仪, 邓萃雯 / 蔡晓仪 / 万绮雯, 剧情 / 爱情, 中国香港,1996.0,0,0,1,,不是大陆
33,大宋提刑官,9.2,67838.0, 阚卫平, 何冰 / 罗海琼 / 谢兰, 剧情 / 悬疑 / 历史 / 古装, 中国大陆,2005.0,1,0,0,,大陆
34,大秦帝国之纵横,9.2,36291.0, 丁黑, 宁静 / 富大龙 / 傅淼, 剧情 / 历史 / 古装, 中国大陆,2013.0,1,0,0,,大陆
35,天道,9.2,33482.0, 张前, 王志文 / 左小青 / 曾红生, 剧情 / 爱情, 中国大陆,2008.0,1,0,0,,大陆
36,我可能不会爱你 我可能不會愛你,8.9,192106.0, 瞿友宁, 林依晨 / 陈柏霖 / 王阳明, 爱情, 中国台湾,2011.0,0,1,0,,不是大陆
